MEDICAL LOOKUP REPORT

Found Searches:
| Name                              | Speciality                                                                                    | State   | Status                   | Link                                                                                                         | Source                                                                                                |
|-----------------------------------+-----------------------------------------------------------------------------------------------+---------+--------------------------+--------------------------------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------------------------|
| Schultz, Billie Anna              | Physical Medicine & Rehabilitation                                                            | AZ      | N/A                      | https://azbomprod.azmd.gov/glsuiteweb/clients/azbom/Public/Profile.aspx?entID=1746928&licID=471728&licType=1 | https://azbomprod.azmd.gov/glsuiteweb/clients/azbom/public/webverificationsearch.aspx                 |
| Schultz, Christopher J.           | Diagnostic Radiology (Radiology)                                                              | AZ      | N/A                      | https://azbomprod.azmd.gov/glsuiteweb/clients/azbom/Public/Profile.aspx?entID=1629269&licID=474456&licType=1 | https://azbomprod.azmd.gov/glsuiteweb/clients/azbom/public/webverificationsearch.aspx                 |
| Schultz, David M.                 | Anesthesiology                                                                                | AZ      | N/A                      | https://azbomprod.azmd.gov/glsuiteweb/clients/azbom/Public/Profile.aspx?entID=1751324&licID=374644&licType=1 | https://azbomprod.azmd.gov/glsuiteweb/clients/azbom/public/webverificationsearch.aspx                 |
| Schultz, Edward R.                | Family Medicine                                                                               | AZ      | N/A                      | https://azbomprod.azmd.gov/glsuiteweb/clients/azbom/Public/Profile.aspx?entID=1638935&licID=211684&licType=1 | https://azbomprod.azmd.gov/glsuiteweb/clients/azbom/public/webverificationsearch.aspx                 |
| Schultz, Geoffrey M.              | Emergency Medicine                                                                            | AZ      | N/A                      | https://azbomprod.azmd.gov/glsuiteweb/clients/azbom/Public/Profile.aspx?entID=1621008&licID=458766&licType=1 | https://azbomprod.azmd.gov/glsuiteweb/clients/azbom/public/webverificationsearch.aspx                 |
| Schultz, Jeffrey J.               | Emergency Medicine                                                                            | AZ      | N/A                      | https://azbomprod.azmd.gov/glsuiteweb/clients/azbom/Public/Profile.aspx?entID=1636456&licID=512452&licType=1 | https://azbomprod.azmd.gov/glsuiteweb/clients/azbom/public/webverificationsearch.aspx                 |
| Schultz, Jessica Dowse            | Pediatrics                                                                                    | AZ      | N/A                      | https://azbomprod.azmd.gov/glsuiteweb/clients/azbom/Public/Profile.aspx?entID=1627975&licID=128841&licType=1 | https://azbomprod.azmd.gov/glsuiteweb/clients/azbom/public/webverificationsearch.aspx                 |
| Schultz, Leonard B.               | Allergy & Immunology                                                                          | AZ      | N/A                      | https://azbomprod.azmd.gov/glsuiteweb/clients/azbom/Public/Profile.aspx?entID=1613472&licID=375108&licType=1 | https://azbomprod.azmd.gov/glsuiteweb/clients/azbom/public/webverificationsearch.aspx                 |
| Schultz, Mary L. P.               | Clinical Pathology                                                                            | AZ      | N/A                      | https://azbomprod.azmd.gov/glsuiteweb/clients/azbom/Public/Profile.aspx?entID=1642366&licID=105421&licType=1 | https://azbomprod.azmd.gov/glsuiteweb/clients/azbom/public/webverificationsearch.aspx                 |
| Schultz, Peggy P.                 | Dermatology                                                                                   | AZ      | N/A                      | https://azbomprod.azmd.gov/glsuiteweb/clients/azbom/Public/Profile.aspx?entID=1620566&licID=513348&licType=1 | https://azbomprod.azmd.gov/glsuiteweb/clients/azbom/public/webverificationsearch.aspx                 |
| Schultz, Ray C.                   | Anatomic/Clinical Pathology                                                                   | AZ      | N/A                      | https://azbomprod.azmd.gov/glsuiteweb/clients/azbom/Public/Profile.aspx?entID=1624822&licID=125479&licType=1 | https://azbomprod.azmd.gov/glsuiteweb/clients/azbom/public/webverificationsearch.aspx                 |
| Schultz, Richard O.               | Ophthalmology                                                                                 | AZ      | N/A                      | https://azbomprod.azmd.gov/glsuiteweb/clients/azbom/Public/Profile.aspx?entID=1610238&licID=107006&licType=1 | https://azbomprod.azmd.gov/glsuiteweb/clients/azbom/public/webverificationsearch.aspx                 |
| Schultz, Robert J.                | Cardiovascular Disease (Internal Medicine)                                                    | AZ      | N/A                      | https://azbomprod.azmd.gov/glsuiteweb/clients/azbom/Public/Profile.aspx?entID=1752691&licID=465382&licType=1 | https://azbomprod.azmd.gov/glsuiteweb/clients/azbom/public/webverificationsearch.aspx                 |
| Schultz, Stacey S.                | Anatomic Pathology                                                                            | AZ      | N/A                      | https://azbomprod.azmd.gov/glsuiteweb/clients/azbom/Public/Profile.aspx?entID=1628387&licID=129262&licType=1 | https://azbomprod.azmd.gov/glsuiteweb/clients/azbom/public/webverificationsearch.aspx                 |
| Schultz, Steven L.                | Child and Adolescent Psychiatry (Psychiatry & Neurology)                                      | AZ      | N/A                      | https://azbomprod.azmd.gov/glsuiteweb/clients/azbom/Public/Profile.aspx?entID=1641745&licID=104725&licType=1 | https://azbomprod.azmd.gov/glsuiteweb/clients/azbom/public/webverificationsearch.aspx                 |
| Schultze, Dietrich Werner Leopold | Diagnostic Radiology (Radiology)                                                              | AZ      | N/A                      | https://azbomprod.azmd.gov/glsuiteweb/clients/azbom/Public/Profile.aspx?entID=1743140&licID=486732&licType=1 | https://azbomprod.azmd.gov/glsuiteweb/clients/azbom/public/webverificationsearch.aspx                 |
| Alan Lee Schultz                  | N/A                                                                                           | CO      | Active                   | N/A                                                                                                          | https://apps.colorado.gov/dora/licensing/Lookup/LicenseLookup.aspx                                    |
| Alan Lee Schultz                  | N/A                                                                                           | CO      | Expired                  | N/A                                                                                                          | https://apps.colorado.gov/dora/licensing/Lookup/LicenseLookup.aspx                                    |
| Alfred William Schultz JR         | N/A                                                                                           | CO      | Active                   | N/A                                                                                                          | https://apps.colorado.gov/dora/licensing/Lookup/LicenseLookup.aspx                                    |
| Amanda Louise Schultz             | N/A                                                                                           | CO      | Active                   | N/A                                                                                                          | https://apps.colorado.gov/dora/licensing/Lookup/LicenseLookup.aspx                                    |
| Amanda Mari Schultz               | N/A                                                                                           | CO      | Active                   | N/A                                                                                                          | https://apps.colorado.gov/dora/licensing/Lookup/LicenseLookup.aspx                                    |
| Brett Alison Higbie Schultz       | N/A                                                                                           | CO      | Active                   | N/A                                                                                                          | https://apps.colorado.gov/dora/licensing/Lookup/LicenseLookup.aspx                                    |
| Brian Michael Schultz             | N/A                                                                                           | CO      | Active                   | N/A                                                                                                          | https://apps.colorado.gov/dora/licensing/Lookup/LicenseLookup.aspx                                    |
